Date,1N Endwall,1S Endwall,Blast ID
26/05/2022 13:40,32.58,NA,1N40D46_O1
26/05/2022 13:40,32.58,NA,1N39D13_C2
7/06/2022 14:30,88.28,6.34,1N41H15_P2
8/06/2022 16:25,5.51,3.49,2S37H16_P1
8/06/2022 16:25,5.51,3.49,2S34D45_PA1
13/06/2022 14:05,NA,2,3N42D11_C2
13/06/2022 14:05,NA,2,2N41H13_T1
14/06/2022 13:05,NA,20.43,1S39H16_P3
21/06/2022 13:05,0.17,0.25,7N24P08_P2
24/06/2022 13:13,0.17,2.71,2S35D47_C3
24/06/2022 13:13,0.17,2.71,2S36H15_O2
27/06/2022 12:42,NA,NA,7N216RL_04
28/06/2022 13:33,0.6,NA,2N38D11_FL2
30/06/2022 15:15,0.34,NA,5N38H16_P3
30/06/2022 15:15,0.34,NA,5N39Q01_P2
10/07/2022 7:34,NA,NA,3N43H13_CL1
10/07/2022 12:48,NA,NA,4S33D132_PA4
19/07/2022 12:16,NA,NA,2S37H16_P2
19/07/2022 12:16,NA,NA,2S34D13_PA3
19/07/2022 12:16,NA,NA,2S38P08_P1
30/07/2022 13:00,1.78,0.1,1N43P08_P2
30/07/2022 13:04,7.04,0.1,1S39H16_P4
30/07/2022 13:04,7.04,0.1,2S38P08_P3
2/08/2022 13:28,0.49,0.21,3N43H13_P1
2/08/2022 13:28,0.49,0.21,3N44Q01_P1
12/08/2022 11:35,NA,NA,1S37D13_FL1
14/08/2022 14:20,8.89,1.13,1S39H16_P5
14/08/2022 14:20,8.89,1.13,1S38H15_P2
22/08/2022 13:38,NA,2.02,5N39Q01_P3
2/09/2022 13:00,NA,NA,4S33D13_PA5
11/09/2022 15:34,0.91,0.21,2N41D46_P1
22/09/2022 13:45,NA,0.24,2S35D47_C4
22/09/2022 13:45,NA,0.24,2S36H15_O3
25/09/2022 14:00,0.17,NA,6N22H15_P2
3/10/2022 14:00,NA,NA,7N23D46_O1
3/10/2022 14:00,NA,NA,6N19D01_PA2
6/10/2022 14:30,NA,NA,1S39H16_CL1
2/11/2022 12:00,NA,0.45,2S37H16_P3
2/11/2022 12:00,NA,0.45,2S35D13_PA1
6/11/2022 12:25,NA,2.02,1S38D46_PS1
6/11/2022 12:25,NA,2.02,1S37D13_FL2
6/11/2022 12:25,NA,2.02,2S38P08_P2
6/11/2022 12:25,NA,2.02,2S38P08_P4
12/11/2022 12:06,NA,0.1,2N42P08_P1
12/11/2022 12:06,NA,0.1,3N43H13_T1
12/11/2022 12:06,NA,0.1,5N38H16_P4
14/11/2022 15:28,NA,NA,1S39H16_CL3
17/11/2022 10:00,NA,NA,6N22H15_CL2
18/11/2022 10:30,NA,NA,1S41Q01_P1
20/11/2022 11:12,NA,NA,7N216RL_05
28/11/2022 14:43,NA,NA,5N39Q01_P4
29/11/2022 13:24,NA,5.19,1S38D46_C1
